Store ID,Address,City,State,Zip Code,Latitude,Longitude
2,2424 Baldwin Blvd,Corpus Christi,Texas,78405,27.7737295,-97.4197227
3,4510 Leopard St,Corpus Christi,Texas,78408,27.7974914,-97.4436075
4,510 S 14th St,Kingsville,Texas,78363,27.5124514,-97.8556869
5,1242 E Main St.,Alice,Texas,78332,27.7538113,-98.0596678
7,1412 E Jackson Ave,McAllen,Texas,78503,26.1904519,-98.2067953
9,3220 Gollihar Rd,Corpus Christi,Texas,78415,27.7377809,-97.4050959
10,509 E Rio Grande St,Victoria,Texas,77901,28.8054811,-96.998758
12,2018 S Staples St,Corpus Christi,Texas,78404,27.7657868,-97.4026943
14,2737 W Wheeler Ave,Aransas Pass,Texas,78336,27.9250901,-97.1784157
15,5900 San Pedro Ave,San Antonio,Texas,78212,29.4886864,-98.498932
21,5480 Pensacola Blvd,Pensacola,Florida,32505,30.4710686,-87.2447098
23,2916 West Expressway 83,McAllen,Texas,78501,26.1942102,-98.2563093
24,3716 Andrews Hwy,Odessa,Texas,79762,31.8782401,-102.3831708
25,1313 N New Warrington Rd,Pensacola,Florida,32506,30.4273657,-87.2708679
26,1520 E Business 83,Weslaco,Texas,78596,26.1562442,-97.9759292
30,1900 E 8th St,Odessa,Texas,79761,31.86026,-102.3472488
31,4126 S Staples St,Corpus Christi,Texas,78411,27.729315,-97.3806268
32,1739 South Beckham,Tyler,Texas,75701,32.3298381,-95.2909432
34,1710 N Saint Marys St,Beeville,Texas,78102,28.4172823,-97.7553791
35,2301 Spencer Hwy,Pasadena,Texas,77504,29.6652092,-95.2059132
38,105 TX-63 Spur,Longview,Texas,75601,32.4984171,-94.7515654
40,2411 Palmer Hwy,Texas City,Texas,77590,29.3944217,-94.9300419
41,1522 E Harrison Ave,Harlingen,Texas,78550,26.1904386,-97.6794625
42,417 E Gregory St,Pensacola,Florida,32502,30.4171769,-87.2046283
43,902 S Texas Ave,Bryan,Texas,77803,30.6648882,-96.3716791
47,2118 Guadalupe St,Laredo,Texas,78043,27.5069269,-99.4745827
48,2010 Victory Dr,Marshall,Texas,75672,32.5474244,-94.3466788
55,23 Miracle Strip Pkwy SW,Fort Walton Beach,Florida,32548,30.4046025,-86.6165602
60,2107 S US Highway 281,Edinburg,Texas,78539,26.2820847,-98.1665969
65,9500 Montana Ave,El Paso,Texas,79925,31.7940273,-106.3590266
69,4902 San Bernardo,Laredo,Texas,78041,27.5447862,-99.5048487
71,4051 E Lancaster Ave,Fort Worth,Texas,76103,32.7412052,-97.2649065
72,1101 Thomasville Rd,Tallahassee,Florida,32303,30.4544443,-84.2779361
76,2600 Hemphill St,Fort Worth,Texas,76110,32.7142871,-97.3319725
78,105 Dominik Dr,College Station,Texas,77840,30.6185113,-96.3220442
79,5315 N May Ave,Oklahoma City,Oklahoma,73112,35.524498,-97.5663027
80,128 E Kearney St,Mesquite,Texas,75149,32.7700998,-96.5977674
81,6327 Stewart Rd,Galveston,Texas,77551,29.2746196,-94.8320748
82,421 N. Timberland Dr.,Lufkin,Texas,75901,31.3414827,-94.718558
84,6106 Cameron Rd,Austin,Texas,78723,30.3192409,-97.698206
85,1605 W Harrison Ave,Harlingen,Texas,78550,26.1898437,-97.713285
88,725 E Centerville Rd,Garland,Texas,75041,32.8783871,-96.6226261
89,905 North Loop W,Houston,Texas,77008,29.8120127,-95.4151867
91,1010 Wildcat Dr,Portland,Texas,78374,27.8803487,-97.318635
99,11721 E. NW Highway,Dallas,Texas,75218,32.8645833,-96.6781383
102,5832 NW 36th St,Oklahoma City,Oklahoma,73122,35.5074034,-97.6179204
104,2461 Government Blvd,Mobile,Alabama,36606,30.6721432,-88.0982367
107,2113 Veterans Blvd,Del Rio,Texas,78840,29.3878612,-100.9047366
110,5200 Davis Blvd,North Richland Hills,Texas,76180,32.8420257,-97.2139294
111,1521 Airline Rd,Corpus Christi,Texas,78412,27.7029152,-97.3635003
112,7007 S Zarzamora St,San Antonio,Texas,78224,29.3579938,-98.5345534
113,1221 Highway 157 N,Mansfield,Texas,76063,32.5810008,-97.151188
114,4111 SW 45th Ave,Amarillo,Texas,79109,35.1633732,-101.8823553
115,100 North Craft Highway,Chickasaw,Alabama,36611,30.7615862,-88.0733381
116,5525 S Buckner Blvd,Dallas,Texas,75228,32.7933227,-96.6854697
116,111 Resource Center Pkwy,Birmingham,Alabama,35242,33.4254906,-86.7052362
117,137 W SW Loop 323,Tyler,Texas,75701,32.3034571,-95.3028586
119,3582 Hwy 114,Ft. Worth,Texas,76177,33.0255844,-97.2799331
119,3313 Cherry Ln,Fort Worth,Texas,76116,32.7238733,-97.4505801
120,4545 North Fwy,Houston,Texas,77022,29.8316563,-95.3839557
122,8930 Fry Rd,Cypress,Texas,77433,29.9118719,-95.7257247
123,1121 Waldron Rd,Corpus Christi,Texas,78418,27.6676257,-97.2825468
124,1124 SW 59th St,Oklahoma City,Oklahoma,73109,35.4058945,-97.5361056
125,4802 50th St,Lubbock,Texas,79414,33.5491843,-101.9141708
127,1701 Malone St,Denton,Texas,76201,33.2299104,-97.1500519
129,311 W Camp Wisdom Rd,Duncanville,Texas,75116,32.6623922,-96.9118994
131,12121 Katy Fwy,Houston,Texas,77079,29.7839539,-95.5999291
132,9516 N Lamar Blvd,Austin,Texas,78753,30.3653298,-97.6962551
134,444 W Little York Rd,Houston,Texas,77076,29.8702776,-95.4056131
136,5600 Montana Ave,El Paso,Texas,79925,31.7832593,-106.4215627
137,2429 Gessner Rd,Houston,Texas,77080,29.8150695,-95.5455481
138,1040 Gessner Rd,Houston,Texas,77055,29.7876703,-95.5437233
139,1405 West Hwy 332,Clute,Texas,77531,29.0106121,-95.4191352
140,928 S 7th St,Waco,Texas,76706,31.5485491,-97.1251909
141,8941 Long Point Rd,Houston,Texas,77055,29.8018077,-95.5101282
142,1604 FM 1960 West,Houston,Texas,77090,30.0126057,-95.4542542
